Name,Link,Ratings,Total Buys,Price,Deal Available,Original Price,Coupon Savings
"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, Premium Metal Body, AL15-41, Thin and Light Laptop",https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-1,"1,078",1K+ bought in past month,"₹ 34,490",No Deal,"₹58,999","Save ₹2,000"
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W",https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-2,450,500+ bought in past month,"₹ 63,990",Best seller,"₹58,999","Save ₹2,000"
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-3,"6,473",1K+ bought in past month,"₹ 65,990",No Deal,"₹58,999","Save ₹2,000"
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-4,271,500+ bought in past month,"₹ 20,000",Best seller,"₹58,999","Save ₹2,000"
"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3C9ZHJZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-5,36,500+ bought in past month,"₹ 78,990",No Deal,"₹58,999","Save ₹2,000"
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-6,250,300+ bought in past month,"₹ 36,990",Limited time deal,"₹58,999","Save ₹2,000"
"Lenovo LOQ Intel Core i5-13450HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 3050 6GB Graphics/100% sRGB/Office 21/3 Month Game Pass/Grey/2.4Kg), 83DV00BHIN",https://www.amazon.in/Lenovo-i5-13450HX-300Nits-Graphics-83DV00BHIN/dp/B0CX8V9C7D/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-7,253,200+ bought in past month,"₹ 74,990",No Deal,"₹58,999","Save ₹2,000"
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS",https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-8,76,400+ bought in past month,"₹ 53,899",No Deal,"₹58,999","Save ₹2,000"
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-9,219,300+ bought in past month,"₹ 60,990",No Deal,"₹58,999","Save ₹2,000"
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch (39.6cm) FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6-inch-Graphics/dp/B0D4LZMJ5Z/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Ck--USuuCv7stMHMTK1I8Sgh-oRvaQv6IdBEf2QOkR3YXU7t5FO3Elbmhj4tRAEZS76zgipNf83o5-mbO7Oyzj-jHfb-6l8_Cr8kiGnDQC_YFKXElZ7XvNAe7SmgcE0d00LOQuzsV0UY9qNgUU-TY3RrSRSUVv4F2PfdvHNs7bkCgebIeIceylCFOfXHUSHID6jjkTp6W8O81oXsnG2_gBQBWxsgQ6LS8cYKOImHIgPw4WOwGwt3vvJvh_k0fSyenN8144p0ceFU-LiEleUQXeQvvn79IGDeP-msEitP3dlajq7-A-j-3umVgajkYWCbZUa7BmYX8Lncmk8MqPp_ryQBxMUEQ5w2dvCUI5RKcu4.F47gIt2QpC8zbCUtqD0PbzXaI0GqwyQFYni867TRul0&dib_tag=se&qid=1741608366&s=computers&sr=1-10,92,200+ bought in past month,"₹ 34,990",No Deal,"₹58,999","Save ₹2,000"
