Name,Link,Ratings,Total Buys,Price,Deal Available,Original Price,Coupon Savings,Company,Discount Price
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-1,6484,1K+ ,64990,Best seller,92900,Save 2000,Apple,27910
"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, Premium Metal Body, AL15-41, Thin and Light Laptop",https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-2,1081,1K+ ,34490,No Deal,92900,Save 2000,Acer,58410
"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3C9ZHJZ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-3,37,500+ ,78990,Limited time deal,92900,Save 2000,Apple,13910
"ASUS Vivobook 16"" FHD+ (1920 X 1200), 60Hz 300Nits, Core i5-12500H, (16GB RAM/512GB SSD/Intel Iris X? Graphics/Win 11/Office Home/Fingerprint/42Whr Battery/Transparent Silver/1.88Kg), X1605ZAC-MB541WS",https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-4,79,400+ ,53899,No Deal,92900,Save 2000,Asus,39001
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, 15.6-Inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA Geforce RTX 3050/Windows 11/48WHR/Graphite Black/2.3 Kg), FA506NCR-HN054W",https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_5?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-5,451,400+ ,63990,Limited time deal,92900,Save 2000,Asus,28910
"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu",https://www.amazon.in/HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_6?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-6,355,300+ ,47990,Limited time deal,92900,Save 2000,Hp,44910
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-7,251,300+ ,36790,Limited time deal,92900,Save 2000,Lenovo,56110
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (39.62cm) FHDIPS300 Nits Thin&Light Laptop (16GB/512GB SSD/Intel UHDGraphics/Win11/Office Home 2024/1YrADP Free/ARCTIC-Grey/1.6Kg), 83EM00GTIN",https://www.amazon.in/Lenovo-i7-13620H-UHDGraphics-ARCTIC-Grey-83EM00GTIN/dp/B0DL5N2TFC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-8,791,400+ ,64490,Limited time deal,92900,Save 2000,Lenovo,28410
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-9,694,100+ ,33990,Limited time deal,92900,Save 2000,Hp,58910
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN",https://www.amazon.in/Lenovo-IdeaPad-Celeron-Warranty-82V6009LIN/dp/B0D6Z2H2HR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.aCjEAVevdfZj_XvWjAG8b256t3Jh2RRXFR_5XSMqZYiTtZ6uCSjFI7vaeYrjMk-CE12JaICCwb-KZdlfzOjK530TcmxKLNuRtr1D-Y3k-04HVPkoqVJTrH4WhSwPDHdKDtuj1Mb7vH5qxoeMq3pfK9xnE8Gq_1OLZ6tB35QuqkUXjbrfM2rLxdL8LMiIjrScdOHYhvlIv70e0TevhIlzrctUuZzTqYHEeNWi9qxXmze4EPP5gRfcpdBQc5MkrKw-riG7cfw2BK0ABV5MkHIypHznS4cuOqedhAOE8btjgOrDf5zy1BLXu15MnbgOHKKewslRbJ80VlttLZkSzLcvj-CDQ48v88aOpYjB7MeYQo4.e5kcgAmZcOlXEbhfmL8bPAvjxeNcUe1X6PlFIAbzMfQ&dib_tag=se&qid=1741773382&s=computers&sr=1-10,274,200+ ,22990,Limited time deal,92900,Save 2000,Lenovo,69910
